,PROP_TYPE_EN,AREA_EN,ACTUAL_AREA,count_total,sum_total,mean_total,count_sale,sum_sale,mean_sale,SSI
269,Unit,REMRAAM,139.46,1,999888.0,999888.0,1,999888.0,999888.0,1.0
270,Unit,SILICON OASIS,41.02,1,390000.0,390000.0,1,390000.0,390000.0,1.0
271,Unit,SILICON OASIS,45.18,1,520000.0,520000.0,1,520000.0,520000.0,1.0
272,Unit,SILICON OASIS,52.83,1,344600.0,344600.0,1,344600.0,344600.0,1.0
273,Unit,SILICON OASIS,58.32,1,500000.0,500000.0,1,500000.0,500000.0,1.0
274,Unit,SILICON OASIS,63.19,1,530000.0,530000.0,1,530000.0,530000.0,1.0
275,Unit,SILICON OASIS,79.23,1,550000.0,550000.0,1,550000.0,550000.0,1.0
276,Unit,SILICON OASIS,88.54,2,1758960.0,879480.0,1,950000.0,950000.0,0.5
277,Unit,SOBHA HEARTLAND,84.72,2,3541200.0,1770600.0,1,1930000.0,1930000.0,0.5
278,Unit,SOBHA HEARTLAND,115.04,2,3870000.0,1935000.0,1,2150000.0,2150000.0,0.5
279,Unit,TECOM SITE A,156.47,1,3800000.0,3800000.0,1,3800000.0,3800000.0,1.0
280,Unit,THE GREENS,78.69,1,1870000.0,1870000.0,1,1870000.0,1870000.0,1.0
281,Unit,THE GREENS,86.59,2,2402400.0,1201200.0,1,1300000.0,1300000.0,0.5
282,Unit,THE GREENS,104.67,2,2725000.0,1362500.0,1,1515000.0,1515000.0,0.5
283,Unit,TOWN SQUARE,131.85,2,2867760.0,1433880.0,1,1550000.0,1550000.0,0.5
284,Unit,Um Suqaim Third,120.16,1,3350000.0,3350000.0,1,3350000.0,3350000.0,1.0
285,Unit,Warsan First,58.59,2,1261699.0,630849.5,1,680000.0,680000.0,0.5
286,Unit,Warsan First,86.5,1,1000000.0,1000000.0,1,1000000.0,1000000.0,1.0
287,Unit,Zaabeel First,187.44,1,8400000.0,8400000.0,1,8400000.0,8400000.0,1.0
288,Unit,Zaabeel Second,151.54,2,8050000.0,4025000.0,1,4550000.0,4550000.0,0.5
